alpha_code,title
ISYS1551,Information Systems Exchange
ISYS1552,Information Systems Exchange
ISYS2140,Information Systems
ISYS2554,Information Systems Exchange
ISYS2555,Information Systems Exchange
ISYS2556,Information Systems Exchange
ISYS2557,Information Systems Exchange
ISYS3400,Information Systems Project
ISYS3401,Analytical Methods & Information Systems
ISYS3554,Information Systems Exchange
ISYS3555,Information Systems Exchange
ISYS3556,Information Systems Exchange
ISYS3557,Information Systems Exchange
ISYS4301,Information Systems Honours A
ISYS4302,Information Systems Honours B
ISYS4303,Information Systems Honours C
ISYS4304,Information Systems Honours D
ISYS5050,Knowledge Management Systems
ISYS5070,Change Management in IT
MARC4001,Urban Architecture Research Studio
MARC4002,Sustainable Architecture Research Studio
MARC4003,Digital Architecture Research Studio
MARC4102,Modern Architectural Theory
MARC6101,Performance Based Modelling in Design
MARC6102,3D Computer Design Modelling
MARC6203,Architecture Workshop B
MARF5201,Honours Studio
MATH1001,Differential Calculus
MATH1002,Linear Algebra
MATH1003,Integral Calculus and Modelling
MATH1004,Discrete Mathematics
MATH1005,Statistics
MATH1011,Applications of Calculus
MATH1013,Mathematical Modelling
MATH1014,Introduction to Linear Algebra
MATH1015,Biostatistics
MATH1111,Introduction to Calculus
MATH1901,Differential Calculus (Advanced)
MATH1902,Linear Algebra (Advanced)
MATH1903,Integral Calculus and Modelling (Advanced)
MATH1905,Statistics (Advanced)
MATH1907,Mathematics (Special Studies Program) B
MBLG1001,Molecular Biology & Genetics
MBLG1901,Molecular Biology & Genetics
MECH1400,Mechanical Construction
MECH1560,Introduction to Mechanical Engineering
MECH2400,Mechanical Design 1
MECH2660,Engineering Management
MECH2901,Anatomy and Physiology for Engineers
MECH3260,Thermal Engineering 2
MECH3261,Fluid Mechanics 2
MECH3361,Mechanics of Solids 2
MECH3362,Materials 2
MECH3460,Mechanical Design 2
MECH3660,Manufacturing Engineering
MECH3661,Engineering Management
MECH3921,Biomedical Design and Technology
MECH4231,Environmental Acoustics & Noise Control
MECH4241,Energy and the Environment
MECH4255,Air Conditioning and Refrigeration
MECH4265,Combustion
MECH4310,Advanced Engineering Materials
MECH4320,Polymer Engineering
MECH4460,Mechanical Design 3
MECH4601,Professional Engineering 2
MECH4720,Sensors and Signals
MECH4730,Computers in Real-Time Control and Instrumentation
MECH4902,Orthopaedic and Surgical Engineering
MECH4961,Biomechanics and Biomaterials
MECH5255,Air Conditioning and Refrigeration (Adv)
MECH5261,Foundations of Fluid Mechanics 2
MECH5262,Foundations of Thermal Engineering 2
MECH5265,Advanced Combustion
MECH5275,Advanced Renewable Energy
MECH5304,Materials Failure
MECH5305,Smart Materials
MECH5310,Advanced Engineering Materials
MECH5361,Foundations of Mechanics of Solids 2
MECH5362,Foundations of Materials 2
MECH5400,Foundations of Mechanical Design 1
MECH5410,Advanced Design and Analysis
MECH5416,Advanced Design and Analysis
MECH5660,Foundations of Manufacturing Engineering
MECH5701,Computers in Real Time Control and Instrumentation
MECH5720,Sensors and Signals
MECH5900,Thesis
MECH9260,Foundations of Thermal Engineering 2
MECH9261,Foundations of Fluid Mechanics 2
MECH9660,Foundations of Manufacturing Engineering
MRSC5040,Medical Radiation Science Nuclear Med 2
MRTY2090,Clinical Education 2.2DR
MTRX1701,Mechatronic Engineering Introductory
MTRX1702,Mechatronics 1
MTRX2700,Mechatronics 2
MTRX3700,Mechatronics 3
MTRX4700,Experimental Robotics
MTRX5700,Experimental Robotics
OCCP4087,Health Promotion through Occupation
ORTH5050,Ocular Pathology 2
PHTY3068,Musculoskeletal Physiotherapy C
PHTY5175,Cardiopulmonary Physiotherapy II
PHTY5177,Neurological Physiotherapy II
PHYS1001,Physics 1 (Regular)
PHYS1002,Physics 1 (Fundamentals)
PHYS1003,Physics 1 (Technological)
PHYS1004,Physics 1 (Environmental and Life Sciences)
PHYS1005,Astronomy
PHYS1500,Astronomy - Discovering the Universe
PHYS1901,Physics 1A (Advanced)
PHYS1902,Physics 1B (Advanced)
PHYS2011,Physics 2A (Regular)
PHYS2911,Physics 2A (Advanced)
PLAN9010,Planning Dissertation 1
PLAN9011,Planning Dissertation 2
PLAN9018,Planning Report
PLAN9048,Environmental Design and Planning
PLAN9061,Planning Principles, Systems & Practice
PLAN9063,Strategic Planning and Design
PLAN9065,Resource and Environmental Management
PLAN9067,Metropolitan Planning
PLAN9068,History & Theory of Planning & Design
PLAN9069,Urban Design and Development Control
PLAN9071,Housing & Urban and Regional Development
PLAN9072,Housing Policy and Assistance
PLAN9073,GIS Based Planning Policy and Analysis
PLAN9074,Public & Community Finance for Planners
PMGT2854,Implementing Concurrent Projects
PMGT3850,Project Management Capstone Project A
PMGT3851,Project Management Capstone Project B
PMGT3855,Project Variance Analysis
PMGT3856,Sustainable Project Management
PMGT3857,International Project Management
PMGT3858,Complex Project Coordination
PMGT4850,Project Management Honours Project A
PMGT4851,Project Management Honours Project B
PMGT5850,Project Management Capstone Project
PMGT5860,Project Leadership Thesis A
PMGT5861,Project Leadership Thesis B
PMGT5871,Project Process Planning and Control
PMGT5872,People and Leadership
PMGT5873,Project Economics and Finance
PMGT5875,Project Innovation Management
PMGT5876,Strategic Delivery of Change
PMGT5877,Management of Project Organisations
PMGT5879,Strategic Portfolio & Program Management
PMGT5880,Project Management Dissertation A
PMGT5881,Project Management Dissertation B
PMGT5883,Project Management Thesis A
PMGT5884,Project Management Thesis B
PMGT5886,System Dynamics Modelling for PM
PMGT5887,Computer Applications in PM
PMGT5888,Global Project Management
PMGT5889,Integrated Cost and Scheduling Control
PMGT5891,Project Risk Management
PMGT5892,Project Management Industrial Project
PMGT5893,Statistical Methods in PM
PMGT5895,Contracts Management
PMGT5896,Sustainability & Intelligence in PM
PMGT5897,Disaster Project Management
PMGT5898,Complex Project Leadership
PMGT5900,Project Management Thesis
PMGT5901,Project Leadership Thesis
PMGT6867,Quantitative Methods: Project Management
PMGT6869,Advanced Knowledge in Project Management
PSYC1001,Psychology 1001
REHB3065,PTSD and Rehabilitation
REHB5062,Brain Injury Rehabilitation
REHB5063,Rehabilitation for PTSD
REHB5070,Vocational Development and Counselling
REHB5077,Psychiatric Rehabilitation
